job title,Experience Needed,Location,Posted date,Salary,Company,Job type,Description,Requirements,Job link
Data Analyst,2 To 4 Years,"Maadi, Cairo, Egypt",2 days ago,Confidential,Hands of Hope Physical Therapy & Wellness,Full Time,"Hands of Hope is a Physical Therapy & Wellness hub, currently running 9 active locations in New York and around the state, strive to reinvigorate Physical Therapy adapting the latest technology in treatment and healthcare industry giving the best quality of care assisting our patients in their recovery journey and help them get back to their normal life faster.
We're looking for a geek Data Analyst capable of working on establishing a strong data department able to guide the whole business to take data driven decisions. 
Responsibilities:
Track, collect, and interpret data, then analyze results using statistical techniques
Identify, analyze and interpret trends or patterns in complex data set..
Apply Data Cleaning Techniques for historical data.
Google Analytics and similar platforms knowledge to present actionable insights in a visually appealing format.
Provide ongoing reports, dashboards and insights facilitate making business recommendations based on data analysis.
Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards & presentations for management to get a clear picture of the department’s operations and ways to improve them.
Build company balance scorecard model.
Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.
Provide quality assurance of imported data.
Processing confidential data and information according to guidelines.
Managing and designing the reporting environment, including data sources, security, and metadata.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Generating reports from single or multiple systems.
Troubleshooting the reporting database environment and reports.
Evaluating changes and updates to source production systems.
Training end-users on new reports and dashboards.
Providing technical expertise in data storage structures, data mining, and data cleansing.","Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio,…)
3+ years in a data analyst role at least.
Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools.
Ability to collaborate effectively and work as part of a team
Strong attention to detail.
Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.
Ability to work with stakeholders to assess potential risks.
Ability to analyze existing tools and databases and provide software solution recommendations.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
Understanding of addressing and metadata standards.
High-level written and verbal communication skills.",https://wuzzuf.net/jobs/p/NnXOsaotY7gM-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=1&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst,3 To 5 Years,"New Cairo, Cairo, Egypt",4 days ago,Confidential,ITCan,Full Time,"Summary :
We are looking for a Data Analyst to create and manage PowerBI and analytics solutions that turn data into knowledge. If you are self-directed, passionate about data and have a business acumen and problem-solving aptitude, we’d like to meet you.
Responsibilities
Designing, developing and maintaining business intelligence solutions.
Crafting and executing queries upon request for data.
Presenting information through reports and visualization.
Interact with the team to gain an understanding of the business environment, technical context and organizational strategic direction.
Ensuring data accuracy, performance, usability, and functionality requirements of BI platform.
Collaborate with teams to integrate all data-based systems.
Manage data through MS Excel, Google sheets, and SQL applications, as required and support other analytics platform.
Develop and execute database queries and conduct analyses.
Create visualizations and reports for requested projects.
Develop and update technical documentation requirements.","Requirements & Qualifications
Strong Power BI development skills including Migration of existing deliverables to Power- BI.
Evaluate and enhance existing applications/dashboards to improve current user experience.
Data modeling, Calculations, Conversions, Scheduling Data refreshes in Power-BI.
Proven experience as a Power BI Developer is must. Industry experience is preferred.
Familiarity with other BI tools (Tableau, QlikView).
Analytical mind with a problem-solving aptitude.
BSc/BA in Computer Science, Engineering or relevant field.",https://wuzzuf.net/jobs/p/tgm6wOgEELPV-Data-Analyst-ITCan-Cairo-Egypt?o=2&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst (Tableau Developer),1 To 4 Years,"6th of October, Giza, Egypt",4 days ago,Confidential,Fawry for Banking Technology and Electronic Payments S.A.E,Full Time,"About the role:

As a Tableau Developer, you will be responsible to create data visualization solutions to improve business processes around various sectors. This role will include master tasks such as generating Tableau dashboard reports, acting as server admin, creating business intelligence reports and visualizations, and work with various teams.
Job Description:
Developing, maintaining, and managing advanced reporting, analytics, dashboards and other BI solutions.
Performing and documenting data analysis, data validation, and data mapping/design.
Reviewing and improving existing systems and collaborating with teams to integrate new systems.
Conducting unit tests and developing database queries to analyze the effects and troubleshoot any issues.
Basic ETL jobs (mostly flows in tableau prep).
Participate in data warehouse design.
Implement (if needed) and Extract data, from android app analytical tools.
Creating tools to store data within the organization.","Bachelor Degree in Mathematics, Computer Science, Information systems, or related field.
Proven experience as a Data Analyst, Business intelligence Developer, or Data Visualization Specialist using Tableau (Must).
Proven experience in developing and working Tableau driven dashboards, analytics .
A solid understanding of SQL, ralational databases, and views creation .
Proficiency in use of query and reporting analysis tools.
Competency in Excel (macros, pivot tables, etc.)
Tableau (online/server, prep, and desktop) creative-looking dashboards and flows with multiple data sources (Preferred).
API hands-on experience to get requirements from android app and website analytical tools (Preferred).
Extensive experience in developing, maintaining and managing Tableau driven dashboards & analytics and working knowledge of Tableau administration/architecture.",https://wuzzuf.net/jobs/p/Umby8kS2z7gM-Data-Analyst-Tableau-Developer-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt?o=3&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst - Food Industry - Obour,3 To 5 Years,"Obour City, Cairo, Egypt",7 days ago,Confidential,Olio Food,Full Time," Duties & responsibilities:
Managing master data, including creation, updates
Provide quality assurance of imported data
Commissioning and decommissioning of data sets.
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Managing and designing the reporting environment, including data sources
Supporting initiatives for data integrity and normalization.
Troubleshooting the reporting database environment and reports.
Providing technical expertise on data storage structures.
 
 
  ","An analytical mindset with problem-solving skills
Excellent understanding of data administration and management functions (collection, analysis, distribution etc.)
Familiarity with modern database and information system technologies
Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)
Preferred to have Background in the Food industry.",https://wuzzuf.net/jobs/p/momqEyjt0fAD-Data-Analyst---Food-Industry---Obour-Olio-Food-Cairo-Egypt?o=4&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Sales Analyst,3 To 5 Years,"Mohandessin, Giza, Egypt",5 days ago,Confidential,Confidential,Full Time,"Issuing monthly and annual sales reports.
Analyze data and provide all required reports on sales, customers and history in the form of presentations and analytical data.
Analyzing sales indicators and collections according to the data received from the periodic reports of sales operations.","Strong research and data analysis skills.
Proficiency in Microsoft office .
Strong communication and presentation skills.
Years of experience from 3-5.",https://wuzzuf.net/jobs/p/szQSc3U0Dv1D-Sales-Analyst-Giza-Egypt?o=5&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst,2 To 5 Years,"New Cairo, Cairo, Egypt",21 days ago,Confidential,Confidential,Full Time,"Performs exploratory data analysis and data pre-processing to arrive at patterns and trends.
Partners with data analysts, data engineers, and/or business teams to understand business requirements.
Owns design, development, and support to data visualization dashboard, shares options for high-quality visuals for the requirements of new / enhancement of operational reports/dashboards.
Supports the data needs from a range of stakeholders in a matrixed organizational environment.
Stays connected to key operational trends with the ability to think strategically on how to best provide key data insights.
Leads proof of concepts of new tools.
Creates and edits visual content including maps, charts, and graphs. 
Transforms data sets, quantitative and qualitative analysis into compelling visuals.
Provides visual, technical, and editorial guidance","Experience with implementing visualization/reporting tools such as Power BI, Tableau, etc
Expertise with writing SQL and a good understanding of data warehouse concepts is a must
Demonstrated knowledge of analyzing data to identify any potential gaps is required
Expert in visualization techniques and be able to present multiple options to business users
Excellent visual skills, including demonstrable design knowledge, such as layout, typography, color, interaction design, and fluency with Adobe tools
Expertise with charting and other data visualization techniques.",https://wuzzuf.net/jobs/p/ROys2bldlLeF-Data-Analyst-Cairo-Egypt?o=6&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Pricing Analyst,3 To 4 Years,"Cairo, Egypt",27 days ago,8000 To 12000 AED Per Month,Cartlow,Full Time,"Immediate Hiring - Cairo
We are looking for an innovative pricing analyst to increase our business's competitiveness and profitability. In this role, you will be analyzing competitor pricing, preparing market share and revenue forecasts, and comparing the outcomes of different pricing strategies.
You should possess sound knowledge of quantitative and qualitative data analysis methods and experience in a similar role. An accomplished pricing analyst is someone who can translate pricing data into actionable profit-enhancing strategies. You should be able to conduct research to learn the history of the product and previous market trends and make changes to the price as necessary to maximize profit.
Responsibilities:
Assessing data from a variety of sources to gain insights into pricing strategies and market trends.
Analyzing competitor pricing and market trends to increase market share and profitability.
Tracking customer engagement to develop effective pricing strategies for products and offerings.
Applying statistical modeling methods to determine the potential impact of pricing strategies on profitability.
Recommending pricing strategies that align closely with market trends and identifying new market segments.
Forecasting revenue and market share based on market trends, production costs, profit margins, and sales volumes.
Collaborating with sales and marketing departments on developing and implementing competitive pricing strategies.
Developing dynamic pricing tools to effectively respond to changing market needs and trends.
Preparing and presenting pricing analysis findings to executives, marketing teams, and sales staff.
Keeping informed on pricing analysis methods and industry trends.","Requirements:
A bachelor's degree in mathematics, statistics, finance, economics, or in a related field.
A master’s degree in business administration will be advantageous.
A minimum of five years' experience as a pricing analyst in a similar industry.
Proficiency in business intelligence (BI) software, such as Sisense and InetSoft Style Intelligence or another
In-depth knowledge of statistical methods and data analysis.
Extensive experience in analyzing pricing strategies and forecasting revenue and market share.
Experience in collaborating on pricing strategies with sales and marketing departments.
Ability to keep abreast of industry trends and develop dynamic pricing tools.
Advanced ability to present pricing analysis reports to relevant stakeholders.
Excellent analytical and communication skills.",https://wuzzuf.net/jobs/p/INdg7FqjsRz1-Pricing-Analyst-Cartlow-Cairo-Egypt?o=7&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst,2 To 4 Years,"Nasr City, Cairo, Egypt",1 month ago,Male,Infinity Clinic Pharma,Full Time,"Inputs master data requests into the system for new customer accounts and make changes to account master data as requested
Accurately maintains customer master data and information in SAP through accurate data entry and monitoring
Provides updates to status requests
Interacts with department management and field operations on an as-needed basis to accomplish assigned tasks
Other data processing/administrative duties as assigned","Proficient knowledge of Microsoft Office and Windows-based computers
Proficient in SAP
Ability to navigate network and internet
A positive attitude with the ability to work in a team environment
High level of accuracy and attention to detail
Ability to analyze data and think critically
Ability to multi-task / work in a dynamic environment
Ability to type at a minimum of 35 WPM
Confidence in decision-making ability
Males only
Customer-centric attitude
Strong communication skills
Prior work in Data Processing and/or accounting environment is a plus",https://wuzzuf.net/jobs/p/jqUJEKO0qir1-Data-Analyst-Infinity-Clinic-Pharma-Cairo-Egypt?o=8&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst,3 To 6 Years,"New Cairo, Cairo, Egypt",17 days ago,Confidential,The International School of Elite Education,Full Time,"Key responsibilities: -
 To provide accurate and appropriate data which allows precise target setting, assessment and intervention.
 To provide quality data analysis across the Trust schools for appropriate groups to assist with identifying personalized learning for all.
Core duties
Data
Act as a first line support to troubleshoot issues to do with the data and the use of it. 
Acting as the primary contact in relation to any data related issues.
In conjunction with the HOD’s, always undertake quality assurance methods to ensure the integrity of the data 
Monitor the effectiveness of data usage and use any feedback to inform future planning.
Support with the creation of reports (for both students and staff) that will provide regular and useful data.
Student Attainment
Lead on the management of the relevant data management systems to record and analyst student
Performance data
Import and export, recording and analysis of student attainment data.
Ensure that systems and procedures are set up to allow the smooth downloading of external exam/module results and that these are collated, up to date, accurate and accessible.
Research and prepare all reports that advise on performance of different groups of students through
Internal and external assessment.
Responsible for the preparation of examination results and self-evaluation data as required.
Ensure that the student data provided by external sources is imported and distributed as necessary.
Reporting & Assessment
Responsible for overseeing the implementation of any new developments relating to the analysis of data.
Provide data analysis and information reports as part of the schools’ internal Quality Assurance procedures.
Support in the preparation of Ousted data requirements.
Oversee all work involved with creating the schools’ statutory returns including the Census, DFE tables checking and other returns, ensuring the accuracy and validity of all data.
Prepare appropriate reports for the all stakeholders to enhance performance.
Maintain RAISE online data and provide information to school staff in order to analyse performance and increase the effectiveness of teaching and learning.
Behavior Attendance
The academies use MIS to register pupils/students for all sessions and to identify patterns in attendance or absence.
Behavior data is also collected through the MIS. The role of the Data Analyst is to support the Learning Provision staff to develop data on behavior and attendance statistics and trends.
Assessment
Monitoring achievement and raising standards is a key focus the academy. 
All data relating to student performance is held and a key role of the Student Data Analyst will be to ensure that any data is robust, accurate and user friendly for all stakeholders","Exceptional Microsoft Excel skills including lookups,Text and string functions, pivot tables and basic VBA .
Relevant university degree preferred in Mathematics or Statistics.
Experience managing data in the educational sector.
Experience of taking a strategic lead in data management projects.",https://wuzzuf.net/jobs/p/pGUAqzaI9Va5-Data-Analyst-The-International-School-of-Elite-Education-Cairo-Egypt?o=9&l=sp&t=sj&a=Data Analyst|search-v3|navbg
Data Analyst,2 To 7 Years,"New Cairo, Cairo, Egypt",1 month ago,Confidential,Shifa Egypt,Full Time,"Documentation and reporting all formulation trials observation and results according to the predetermined procedures.
Designing and optimizing business reporting
Report hospital performance using strategic metrics to relevant stakeholders
Receive and Review and Transfer Ideas to Relevant Teams or Departments, Performance Management and Reporting (KPIs etc.) Follow up; Audit and monitor other teams.
Review all the challenges faced by departments and provide the list of innovation challenges or brainstormed solutions
Review all the feedback reports such as survey feedback, SWOT analysis , audit feedback, received suggestion and ideas, etc and provide the improvement plans
Monitor performance progress against targets by tracking activity; define problems; publishing progress reports; recommending actions.
Understand and communicate the financial and operational impact of any changes.","Bachelor’s degree
An analytical mindset with problem-solving skills
Excellent understanding of data administration and management functions (collection, analysis, distribution etc.)
From 2-7 years of relevant experience.
Medical background or any relevant field to medical.
Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)
Decision-making
Planning and organizing
Problem analysis and problem-solving
Communication skills
Experience on medical field",https://wuzzuf.net/jobs/p/xMjo7WKXgAnQ-Data-Analyst-Shifa-Egypt-Cairo-Egypt?o=10&l=sp&t=sj&a=Data Analyst|search-v3|navbg
